430359,Session,Scan,S/N (Arya),S/N (Jen),S/N (Becky),"S/N (J,S,A)",S/N (Katie),S/N (Alex),S/N average,S/N(Arya)(median-method),S/N (Tom)(median-method),"S/N (J,S,A)(median-method)","Classification (gps, detection, non-detection)",,,,-> Strong Detection (S/N >= 8),
20503,12,9,6.475,,,6.04,6.71,,6.408333333,3.28,,3.85,,,,,,
20503,12,11,,,,,,,#DIV/0!,,,,,,,,,
20503,16,17,,,,,,,#DIV/0!,,,,,,,,,
20503,24,9,,,,,,,,,,,,,,,,
20503,24,11,,,,,,,,,,,,,,,,
21306,12,13,7.978,,,8.53,9.87,,8.792666667,7.34,,6.48,,,,,,
21306,12,15,,,,,,,#DIV/0!,,,,,,,,,
22318,12,17,5.8,,,6.16,5.94,,5.966666667,4.75,,3.95,,,,,,
22318,12,19,,,,,,,#DIV/0!,,,,,,,,,
22318,16,31,,,,,,,#DIV/0!,,,,,,,,,
22699,12,21,73.889,,,65.66,79.11,,72.88633333,-,,57.75,,,,,,
421115,12,23,n/a,,,n/a,n/a,,#DIV/0!,,,n/a,,,,,,
421115,12,25,,,,,,,#DIV/0!,,,,,,,,,
431483,12,27,5.017,,,5.12,5.25,,5.129,3.57,,3.35,,not sure if the signal is shifted leftward or it's just super asymmetrical,,,,
431483,12,29,,,,,,,#DIV/0!,,,,,,,,,
100038,13,9,3.49,,,3.15,3.15,,3.263333333,1.63,,1.79,,,,,,
100038,13,11,,,,,,,#DIV/0!,,,,,,,,,
100038,16,9,,,,,,,#DIV/0!,,,,,,,,,
100038,16,11,,,,,,,#DIV/0!,,,,,,,,,
100038,26,25,,,,,,,,,,,,,,,,
100038,26,27,,,,,,,,,,,,,,,,
105046,13,13,3.359,,,5.31,3.57,,4.079666667,2.49,,0.64,,,,,,
105046,13,15,,,,,,,#DIV/0!,,,,,,,,,
105046,16,13,,,,,,,#DIV/0!,,,,,,,,,
105046,16,15,,,,,,,#DIV/0!,,,,,,,,,
400635,13,17,n/a,,,n/a,n/a,,#DIV/0!,,,n/a,,,,,,
400635,13,19,,,,,,,#DIV/0!,,,,,,,,,
116546,13,21,n/a,,,n/a,n/a,,#DIV/0!,,,n/a,,,,,,
116546,13,23,,,,,,,#DIV/0!,,,,,,,,,
116545,13,25,n/a,,,n/a,n/a,,#DIV/0!,,,n/a,,,,,,
116545,13,27,,,,,,,#DIV/0!,,,,,,,,,
111609,13,29,n/a,,,n/a,n/a,,#DIV/0!,,,n/a,,,,,,
111609,13,31,,,,,,,#DIV/0!,,,,,,,,,
114578,13,33,n/a,,,n/a,n/a,,#DIV/0!,,,n/a,,,,,,
114578,13,35,,,,,,,#DIV/0!,,,,,,,,,
411448,13,37,4.9134,,,4.63,5.43,,4.991133333,2.78,,2.51,,,,,,
411448,13,39,,,,,,,#DIV/0!,,,,,,,,,
411448,16,23,,,,,,,#DIV/0!,,,,,,,,,
411448,16,25,,,,,,,#DIV/0!,,,,,,,,,
1324,13,41,6.998,,,5.91,6.78,,6.562666667,4.33,,4.01,,,,,,
1324,13,43,,,,,,,#DIV/0!,,,,,,,,,
1324,24,13,,,,,,,,,,,,,,,,
1324,24,15,,,,,,,,,,,,,,,,
125817,13,45,n/a,,,,n/a,,#DIV/0!,,,,,,,,,
125817,24,17,,,,,,,,,,,,,,,,
226495,14,9,,,,n/a,,,#DIV/0!,,,n/a,,,,,,
226495,14,11,,,,,,,#DIV/0!,,,,,,,,,
7879,14,13,,,,n/a,,,#DIV/0!,,,n/a,,,,,,
7879,14,15,,,,,,,#DIV/0!,,,,,,,,,
239289,14,21,,,,n/a,,,#DIV/0!,,,n/a,,,,,,
239289,14,23,,,,,,,#DIV/0!,,,,,,,,,
531591,14,25,,,,n/a,,,#DIV/0!,,,n/a,,,,,,
531591,14,27,,,,,,,#DIV/0!,,,,,,,,,
531593,14,33,,,,n/a,,,#DIV/0!,,,n/a,,,,,,
531593,14,35,,,,,,,#DIV/0!,,,,,,,,,
30270,14,37,,,,7.46,,,7.46,,,5.44,,,,,,
30270,14,39,,,,,,,#DIV/0!,,,,,,,,,
30270,27,27,,,,,,,,,,,,,,,,
30270,27,29,,,,,,,,,,,,,,,,
540932,14,41,,,,n/a,,,#DIV/0!,,,n/a,,,,,,
229559,15,9,,,,n/a,,,#DIV/0!,,,n/a,,,,,,
229559,15,11,,,,,,,#DIV/0!,,,,,,,,,
7847,15,13,,,,14.77,,,14.77,,,11.68,,,,,,
7935,15,15,,,,8.48,,,8.48,,,6.94,,,,,,
7935,15,17,,,,,,,#DIV/0!,,,,,,,,,
7935,19,21 (aborted),,,,,,,,,,,,,,,,
7935,19,22 (off:23),,,,,,,,,,,,,,,,
7935,19,24 (off:25),,,,,,,,,,,,,,,,
222248,15,19,,,,20.76,,,20.76,,,18.69,,,,,,
222248,15,21,,,,,,,#DIV/0!,,,,,,,,,
239288,15,23,,,,n/a,,,#DIV/0!,,,n/a,,,,,,
239288,15,25,,,,,,,#DIV/0!,,,,,,,,,
257439,15,27,,,,6.02,,,6.02,,,4.49,,,,,,
257439,15,29,,,,,,,#DIV/0!,,,,,,,,,
257439,25,15,,,,,,,,,,,,,,,,
257439,25,17,,,,,,,,,,,,,,,,
9391,15,31,,,,21.6,,,21.6,,,22.77,,,,,,
9391,15,33,,,,,,,#DIV/0!,,,,,,,,,
411450,16,19,,,,n/a,,,#DIV/0!,,,n/a,,,,,,
411450,16,21,,,,,,,#DIV/0!,,,,,,,,,
421112,16,27,,,,6.86,,,6.86,,,5.03,,,,,,
421112,16,29,,,,,,,#DIV/0!,,,,,,,,,
421112,24,19,,,,,,,,,,,,,,,,
421112,24,21,,,,,,,,,,,,,,,,
430063,16,33,,,,5.77,,,5.77,,,3.46,,,,,,
430063,24,31,,,,,,,,,,,,,,,,
430063,24,33,,,,,,,,,,,,,,,,
130214,16,35,,,,n/a,,,#DIV/0!,,,n/a,,,,,,
130214,16,37,,,,,,,#DIV/0!,,,,,,,,,
430359,16,39,,,,55.77,,,55.77,,,26.77,,,,,,
430428,16,41,,,,n/a,,,#DIV/0!,,,n/a,,,,,,
430428,16,43,,,,,,,#DIV/0!,,,,,,,,,
3611,16,73,,,,4.24,,,4.24,,,2.88,,,,,,
3611,16,75,,,,,,,#DIV/0!,,,,,,,,,
160387,16,77,,,,8.07,,,8.07,,,5.62,,source is centrally peaked,,,,
160387,16,79,,,,,,,#DIV/0!,,,,,,,,,
3770,16,81,,,,11.02,,,11.02,,,9.61,,,,,,
3770,16,83,,,,,,,#DIV/0!,,,,,,,,,
184750,16,89,,,,n/a,,,#DIV/0!,,,n/a,,,,,,
184750,16,91,,,,,,,#DIV/0!,,,,,,,,,
194224,16,93,,,,2.46,,,2.46,,,0.48,,,,,,
194224,16,95,,,,,,,#DIV/0!,,,,,,,,,
194224,18,5,,,,,,,,,,,,,,,,
194224,18,7,,,,,,,,,,,,,,,,
180952,17,9,,,,6.93,,,,,,6.48,,,,,,
180952,17,11,,,,,,,,,,,,,,,,
191474,17,13,,,,,,,,,,,,,,,,
191474,17,15,,,,,,,,,,,,,,,,
5066,17,17,,,,14.17,,,,,,9.89,,,,,,
5066,17,19,,,,,,,,,,,,,,,,
198643,17,21,,,,3.23,,,,,,1.69,,,,,,
198643,17,23,,,,,,,,,,,,,,,,
200208,17,25,,,,,,,,,,,,,,,,
200208,17,27,,,,,,,,,,,,,,,,
207676,17,29,,,,,,,,,,,,,,,,
207676,17,31,,,,,,,,,,,,,,,,
4664,18,9,,,,4.23,,,,,,2.08,,,,,,
4664,18,11,,,,,,,,,,,,,,,,
206431,18,13,,,,,,,,,,,,,,,,
206431,18,15,,,,,,,,,,,,,,,,
4510,18,17,,,,3.05,,,,,,1.05,,,,,,
4510,18,19,,,,,,,,,,,,,,,,
5645,18,21,,,,6,,,,,,4.67,,,,,,
5645,18,23,,,,,,,,,,,,,,,,
5645,19,5,,,,,,,,,,,,,,,,
5645,19,7,,,,,,,,,,,,,,,,
5814,18,25 (SuperLog),,,,,,,,,,,,,,,,
5814,18,27 (SuperLog),,,,,,,,,,,,,,,,
5814,19,9,,,,,,,,,,,,,,,,
5814,19,11,,,,,,,,,,,,,,,,
219861,18,29,,,,,,,,,,,,,,,,
6015,19,13,,,,4.26,,,,,,3.01,,,,,,
6015,19,15,,,,,,,,,,,,,,,,
6904,19,17,,,,23.15,,,,,,19.98,,,,,,
6904,19,19,,,,,,,,,,,,,,,,
500202,20,9,,,,5.59,,,,,,3.29,,,,,,
500202,20,11,,,,,,,,,,,,,,,,
500202,27,13,,,,,,,,,,,,,,,,
500202,27,15,,,,,,,,,,,,,,,,
501819,20,13,,,,10.8,,,,,,9.08,,,,,,
501819,20,15,,,,,,,,,,,,,,,,
27869,20,17,,,,,,,,,,,,,,,,
27869,20,19,,,,,,,,,,,,,,,,
27994,20,21,,,,,,,,,,,,,,,,
27994,20,23,,,,,,,,,,,,,,,,
510055,20,25,,,,17.37,,,,,,14.26,,,,,,
510055,20,27,,,,,,,,,,,,,,,,
510089,20,29,,,,3.78,,,,,,2.22,,,,,,
510089,20,31,,,,,,,,,,,,,,,,
521469,20,33,,,,,,,,,,,,,,,,
521469,20,35,,,,,,,,,,,,,,,,
28810,20,37,,,,12.22,,,,,,7.18,,,,,,
28810,27,21,,,,,,,,,,,,,,,,
530083,20,39,,,,32.86,,,,,,24.3,,,,,,
530083,20,41,,,,,,,,,,,,,,,,
